2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
20904,Fairy Dell (Campaspe - Vic.),93,982,VIC,1059
20906,Falls Creek,326,1011,VIC,1598
20907,Faraday,194,1105,VIC,2681
20908,Fawcett,82,1005,VIC,1483
20909,Fawkner,14274,982,VIC,1057
20910,Fentons Creek,27,1012,VIC,1620
20911,Ferguson,13,989,VIC,1169
20912,Fern Hill,125,1088,VIC,2579
20913,Fernbank,194,942,VIC,473
20914,Ferndale,48,1021,VIC,1770
20915,Fernihurst,32,1066,VIC,2395
20917,Ferntree Gully,27398,999,VIC,1362
20918,Ferny Creek,1524,1106,VIC,2683
20919,Fiery Flat,28,994,VIC,1281
20920,Fingal,637,1021,VIC,1764
20921,Fish Creek,858,1026,VIC,1846
20922,Fish Point,11,935,VIC,397
20923,Fiskville,18,957,VIC,693
20924,Fitzroy,10431,1125,VIC,2732
20925,Fitzroy North,12781,1171,VIC,2815
20926,Flaggy Creek,104,953,VIC,636
20927,Flagstaff,97,920,VIC,265
20929,Flemington,7025,1051,VIC,2212
20930,Flinders,1130,1136,VIC,2751
20931,Flora Hill,3989,1011,VIC,1603
20932,Flowerdale,790,920,VIC,268
20933,Flynn,188,969,VIC,886
20934,Flynns Creek,12,948,VIC,561
20935,Footscray,17131,1084,VIC,2560
20936,Forbes,158,1017,VIC,1699
20937,Forest Hill,10780,1059,VIC,2314
20938,Forge Creek,346,982,VIC,1055
20939,Forrest,257,1064,VIC,2383
20940,Foster,2044,966,VIC,850
20941,Foster North,152,1048,VIC,2166
20942,Fosterville,57,972,VIC,916
20943,Foxhow,31,1015,VIC,1681
20944,Framlingham,169,972,VIC,913
20945,Framlingham East,25,1061,VIC,2354
20946,Franklinford,71,1013,VIC,1635
20947,Frankston,37331,981,VIC,1042
20948,Frankston North,5711,856,VIC,25
20949,Frankston South,18801,1056,VIC,2290
20950,Fraser Rise,9097,1024,VIC,1828
20951,Freeburgh,136,1015,VIC,1682
20952,French Island,141,1058,VIC,2305
20953,Frenchmans,7,919,VIC,262
20954,Freshwater Creek,454,1055,VIC,2289
20955,Fryerstown,232,1044,VIC,2118
20956,Fulham,994,962,VIC,774
20957,Fumina,11,984,VIC,1073
20958,Fumina South,65,984,VIC,1074
20959,Fyans Creek,47,992,VIC,1227
20960,Fyansford,1206,1065,VIC,2388
20961,Gaffneys Creek,3,953,VIC,644
20962,Gainsborough,61,1000,VIC,1404
20963,Gannawarra,110,996,VIC,1315
20964,Gapsted,156,976,VIC,991
20965,Gardenvale,1019,1122,VIC,2722
20966,Garfield,2114,944,VIC,519
20967,Garfield North,236,973,VIC,949
20968,Garibaldi,131,1005,VIC,1475
20969,Garvoc,248,1008,VIC,1549
20970,Gateway Island,0,806,VIC,3
20971,Gatum,35,1111,VIC,2693
20972,Gazette,42,1070,VIC,2438
20973,Geelong,5811,1080,VIC,2535
20974,Geelong West,7345,1074,VIC,2481
20975,Gelantipy,23,943,VIC,485
20976,Gellibrand,230,975,VIC,982
20977,Gellibrand Lower,19,1027,VIC,1851
20978,Gelliondale,43,985,VIC,1102
20979,Gembrook,2559,1001,VIC,1418
20980,Genoa,66,1055,VIC,2279
20982,Georges Creek,75,1065,VIC,2389
20983,Gerahmin,11,1094,VIC,2623
20984,Gerang Gerung,65,1072,VIC,2462
20985,Gerangamete,112,1034,VIC,1999
20986,Germania,17,963,VIC,793
20988,Gerrigerrup,31,1041,VIC,2067
20989,Gherang,391,1039,VIC,2057
20990,Gheringhap,132,1019,VIC,1742
20991,Ghin Ghin,64,1061,VIC,2348
20992,Giffard,73,966,VIC,853
20993,Giffard West,72,966,VIC,854
20994,Gil Gil,23,1029,VIC,1909
20995,Gilderoy,62,944,VIC,514
20996,Gillieston,45,986,VIC,1121
20998,Gipsy Point,31,1055,VIC,2280
20999,Girgarre,563,888,VIC,94
21000,Girgarre East,143,972,VIC,914
21001,Gisborne,10142,1050,VIC,2196
21002,Gisborne South,854,1032,VIC,1963
21003,Gladfield,32,1054,VIC,2266
21004,Gladstone Park,8213,945,VIC,526
21005,Gladysdale,423,963,VIC,803
21006,Glen Alvie,182,1023,VIC,1812
21007,Glen Creek,59,1042,VIC,2076
21008,Glen Forbes,118,940,VIC,445
21009,Glen Huntly,4905,1127,VIC,2739
21010,Glen Iris,26131,1159,VIC,2797
21011,Glen Park,110,1058,VIC,2303
21012,Glen Valley,23,967,VIC,862
21013,Glen Waverley,42642,1100,VIC,2663
21014,Glen Wills,4,967,VIC,863
21015,Glenaire,33,1050,VIC,2193
21016,Glenaladale,48,942,VIC,474
21017,Glenalbyn,21,994,VIC,1284
21018,Glenaroua,208,991,VIC,1215
21019,Glenbrae,30,936,VIC,409
21020,Glenburn,443,975,VIC,980
21021,Glendaruel,49,1028,VIC,1892
21022,Glendonald,12,1028,VIC,1893
21024,Glenfyne,131,1032,VIC,1957
21025,Glengarry,1113,928,VIC,334
21026,Glengarry North,215,935,VIC,395
21027,Glengarry West,155,952,VIC,621
21028,Glengower,15,956,VIC,680
21029,Glenhope,66,1000,VIC,1398
21030,Glenhope East,17,1000,VIC,1396
21031,Glenisla,23,1111,VIC,2694
21032,Glenlee,71,1072,VIC,2463
21033,Glenlofty,11,993,VIC,1250
21034,Glenlogie,29,964,VIC,807
21035,Glenloth,7,1022,VIC,1797
21036,Glenloth East,14,1042,VIC,2078
21037,Glenluce,17,1044,VIC,2119
21038,Glenlyon,431,1052,VIC,2246
21039,Glenmaggie,279,932,VIC,373
21040,Glenmore,75,957,VIC,695
21041,Glenorchy,131,985,VIC,1115
21042,Glenormiston North,63,1005,VIC,1468
21043,Glenormiston South,123,1005,VIC,1469
21044,Glenpatrick,13,993,VIC,1251
21045,Glenrowan,1049,973,VIC,950
21046,Glenrowan West,75,1007,VIC,1511
21047,Glenroy,23792,1014,VIC,1652
21048,Glenthompson,256,1026,VIC,1847
21049,Glomar Beach,21,958,VIC,713
21050,Gnarwarre,297,1050,VIC,2191
21051,Gnotuk,120,995,VIC,1308
21052,Gobarup,45,1006,VIC,1493
21053,Gobur,102,1005,VIC,1487
21054,Golden Beach,356,878,VIC,66
21055,Golden Gully,213,868,VIC,45
21056,Golden Point (Ballarat - Vic.),2217,1004,VIC,1460
21057,Golden Point (Mount Alexander - Vic.),102,1085,VIC,2567
21058,Golden Square,9220,957,VIC,690
21059,Goldie,253,1021,VIC,1777
21060,Goldsborough,37,897,VIC,143
21061,Gong Gong,6,1058,VIC,2304
21062,Gonn Crossing,50,876,VIC,57
21063,Goomalibee,91,929,VIC,337
21064,Goon Nure,137,1048,VIC,2164
21065,Goongerah,31,943,VIC,491
21066,Gooram,141,1086,VIC,2573
21067,Gooramadda,62,1035,VIC,2017
21068,Goorambat,269,991,VIC,1212
21069,Goornong,718,944,VIC,503
21070,Gooroc,19,963,VIC,795
21071,Gorae,236,930,VIC,345
21072,Gorae West,237,930,VIC,346
21073,Gordon,1393,997,VIC,1329
21074,Gormandale,324,947,VIC,544
21075,Goroke,295,944,VIC,504
21076,Goschen,35,1034,VIC,2008
